6/13/2018 2:22:25 PM,System.Exception,"Error occurred during application startup"
6/13/2018 2:22:25 PM,System.TypeInitializationException,"The type initializer for 'System.Data.Entity.Internal.AppConfig' threw an exception."
6/13/2018 2:22:25 PM,System.Configuration.ConfigurationErrorsException,"Unable to open configSource file 'web.ConnectionStrings.config'. (C:\Users\Daniel Rychlik\Documents\github\7.0\RockWeb\web.config line 24)"
7/9/2018 6:39:51 PM,System.Exception,"Error occurred during application startup","   at RockWeb.Global.Application_Start(Object sender, EventArgs e) in \\vmware-host\shared folders\Documents\GitHub\RockSDK_7.4\RockWeb\App_Code\Global.asax.cs:line 334"
7/9/2018 6:39:51 PM,System.TypeInitializationException,"The type initializer for 'System.Data.Entity.Internal.AppConfig' threw an exception.","   at System.Data.Entity.Internal.AppConfig.get_DefaultInstance()
   at System.Data.Entity.Internal.LazyInternalConnection..ctor(DbContext context, String nameOrConnectionString)
   at System.Data.Entity.DbContext..ctor()
   at Rock.Data.RockContext..ctor()
   at Rock.Model.ExceptionLogService.LogExceptions(Exception ex, ExceptionLog log, Boolean isParent)"
7/9/2018 6:39:51 PM,System.Exception,"Error occurred during application startup","   at RockWeb.Global.Application_Start(Object sender, EventArgs e) in \\vmware-host\shared folders\Documents\GitHub\RockSDK_7.4\RockWeb\App_Code\Global.asax.cs:line 334"
7/9/2018 6:39:51 PM,System.TypeInitializationException,"The type initializer for 'System.Data.Entity.Internal.AppConfig' threw an exception.","   at System.Data.Entity.Internal.AppConfig.get_DefaultInstance()
   at System.Data.Entity.Internal.LazyInternalConnection..ctor(DbContext context, String nameOrConnectionString)
   at System.Data.Entity.DbContext..ctor()
   at Rock.Data.RockContext..ctor()
   at Rock.Web.Cache.GlobalAttributesCache.Load(RockContext rockContext)
   at Rock.Web.Cache.GlobalAttributesCache.<>c__DisplayClass26_0.<Read>b__0()
   at Rock.Web.Cache.GlobalAttributesCache.GetOrAddExisting(String key, Func`1 valueFactory)
   at Rock.Web.Cache.GlobalAttributesCache.Read(RockContext rockContext)
   at Rock.Web.Cache.GlobalAttributesCache.Read()
   at RockWeb.Global.SendNotification(Exception ex) in \\vmware-host\shared folders\Documents\GitHub\RockSDK_7.4\RockWeb\App_Code\Global.asax.cs:line 969"
7/9/2018 6:39:51 PM,System.Configuration.ConfigurationErrorsException,"Unable to open configSource file 'web.ConnectionStrings.config'. (\\vmware-host\Shared Folders\Documents\GitHub\RockSDK_7.4\RockWeb\web.config line 25)","   at System.Configuration.BaseConfigurationRecord.EvaluateOne(String[] keys, SectionInput input, Boolean isTrusted, FactoryRecord factoryRecord, SectionRecord sectionRecord, Object parentResult)
   at System.Configuration.BaseConfigurationRecord.Evaluate(FactoryRecord factoryRecord, SectionRecord sectionRecord, Object parentResult, Boolean getLkg, Boolean getRuntimeObject, Object& result, Object& resultRuntimeObject)
   at System.Configuration.BaseConfigurationRecord.GetSectionRecursive(String configKey, Boolean getLkg, Boolean checkPermission, Boolean getRuntimeObject, Boolean requestIsHere, Object& result, Object& resultRuntimeObject)
   at System.Configuration.BaseConfigurationRecord.GetSection(String configKey)
   at System.Web.HttpContext.GetSection(String sectionName)
   at System.Web.Configuration.HttpConfigurationSystem.GetSection(String sectionName)
   at System.Web.Configuration.HttpConfigurationSystem.System.Configuration.Internal.IInternalConfigSystem.GetSection(String configKey)
   at System.Configuration.ConfigurationManager.get_ConnectionStrings()
   at System.Data.Entity.Internal.AppConfig..ctor()
   at System.Data.Entity.Internal.AppConfig..cctor()"
7/9/2018 6:39:51 PM,System.Configuration.ConfigurationErrorsException,"Unable to open configSource file 'web.ConnectionStrings.config'. (\\vmware-host\Shared Folders\Documents\GitHub\RockSDK_7.4\RockWeb\web.config line 25)","   at System.Configuration.BaseConfigurationRecord.EvaluateOne(String[] keys, SectionInput input, Boolean isTrusted, FactoryRecord factoryRecord, SectionRecord sectionRecord, Object parentResult)
   at System.Configuration.BaseConfigurationRecord.Evaluate(FactoryRecord factoryRecord, SectionRecord sectionRecord, Object parentResult, Boolean getLkg, Boolean getRuntimeObject, Object& result, Object& resultRuntimeObject)
   at System.Configuration.BaseConfigurationRecord.GetSectionRecursive(String configKey, Boolean getLkg, Boolean checkPermission, Boolean getRuntimeObject, Boolean requestIsHere, Object& result, Object& resultRuntimeObject)
   at System.Configuration.BaseConfigurationRecord.GetSection(String configKey)
   at System.Web.HttpContext.GetSection(String sectionName)
   at System.Web.Configuration.HttpConfigurationSystem.GetSection(String sectionName)
   at System.Web.Configuration.HttpConfigurationSystem.System.Configuration.Internal.IInternalConfigSystem.GetSection(String configKey)
   at System.Configuration.ConfigurationManager.get_ConnectionStrings()
   at System.Data.Entity.Internal.AppConfig..ctor()
   at System.Data.Entity.Internal.AppConfig..cctor()"
7/9/2018 6:46:21 PM,System.Exception,"Error occurred during application startup","   at RockWeb.Global.Application_Start(Object sender, EventArgs e) in \\vmware-host\shared folders\Documents\GitHub\RockSDK_7.4\RockWeb\App_Code\Global.asax.cs:line 334"
7/9/2018 6:46:21 PM,System.TypeInitializationException,"The type initializer for 'System.Data.Entity.Internal.AppConfig' threw an exception.","   at System.Data.Entity.Internal.AppConfig.get_DefaultInstance()
   at System.Data.Entity.Internal.LazyInternalConnection..ctor(DbContext context, String nameOrConnectionString)
   at System.Data.Entity.DbContext..ctor()
   at Rock.Data.RockContext..ctor()
   at Rock.Model.ExceptionLogService.LogExceptions(Exception ex, ExceptionLog log, Boolean isParent)"
7/9/2018 6:46:21 PM,System.Exception,"Error occurred during application startup","   at RockWeb.Global.Application_Start(Object sender, EventArgs e) in \\vmware-host\shared folders\Documents\GitHub\RockSDK_7.4\RockWeb\App_Code\Global.asax.cs:line 334"
7/9/2018 6:46:21 PM,System.Configuration.ConfigurationErrorsException,"Unable to open configSource file 'web.ConnectionStrings.config'. (\\vmware-host\Shared Folders\Documents\GitHub\RockSDK_7.4\RockWeb\web.config line 25)","   at System.Configuration.BaseConfigurationRecord.EvaluateOne(String[] keys, SectionInput input, Boolean isTrusted, FactoryRecord factoryRecord, SectionRecord sectionRecord, Object parentResult)
   at System.Configuration.BaseConfigurationRecord.Evaluate(FactoryRecord factoryRecord, SectionRecord sectionRecord, Object parentResult, Boolean getLkg, Boolean getRuntimeObject, Object& result, Object& resultRuntimeObject)
   at System.Configuration.BaseConfigurationRecord.GetSectionRecursive(String configKey, Boolean getLkg, Boolean checkPermission, Boolean getRuntimeObject, Boolean requestIsHere, Object& result, Object& resultRuntimeObject)
   at System.Configuration.BaseConfigurationRecord.GetSection(String configKey)
   at System.Web.HttpContext.GetSection(String sectionName)
   at System.Web.Configuration.HttpConfigurationSystem.GetSection(String sectionName)
   at System.Web.Configuration.HttpConfigurationSystem.System.Configuration.Internal.IInternalConfigSystem.GetSection(String configKey)
   at System.Configuration.ConfigurationManager.get_ConnectionStrings()
   at System.Data.Entity.Internal.AppConfig..ctor()
   at System.Data.Entity.Internal.AppConfig..cctor()"
